First Name,Last Name,Email,Police Station Name,District,Comments,Rating
Rahul,Sharma,rahul.sharma58@example.com,Rajkot Police Station,Rajkot,Poor service,9
Neha,Gupta,neha.gupta82@example.com,Rajkot Police Station,Rajkot,Excellent service,6
Sanjay,Mukherjee,sanjay.mukherjee78@example.com,Rajkot Police Station,Rajkot,Average service,3
Priya,Sharma,priya.sharma88@example.com,Rajkot Police Station,Rajkot,Terrible service,2
Priya,Sharma,priya.sharma31@example.com,Rajkot Police Station,Rajkot,Poor service,3
Kavita,Reddy,kavita.reddy34@example.com,Rajkot Police Station,Rajkot,Good service,5
Priya,Sharma,priya.sharma57@example.com,Rajkot Police Station,Rajkot,Excellent service,8
Neha,Patel,neha.patel68@example.com,Rajkot Police Station,Rajkot,Average service,2
Sanjay,Gupta,sanjay.gupta28@example.com,Rajkot Police Station,Rajkot,Average service,4
Rahul,Singh,rahul.singh43@example.com,Rajkot Police Station,Rajkot,Poor service,3
Neha,Singh,neha.singh44@example.com,Rajkot Police Station,Rajkot,Excellent service,1
Kavita,Sharma,kavita.sharma1@example.com,Rajkot Police Station,Rajkot,Good service,5
Aarav,Mukherjee,aarav.mukherjee49@example.com,Rajkot Police Station,Rajkot,Average service,9
Kavita,Patel,kavita.patel91@example.com,Rajkot Police Station,Rajkot,Terrible service,2
Neha,Gupta,neha.gupta44@example.com,Rajkot Police Station,Rajkot,Average service,3
Sanjay,Singh,sanjay.singh85@example.com,Rajkot Police Station,Rajkot,Terrible service,5
Aarav,Mukherjee,aarav.mukherjee34@example.com,Rajkot Police Station,Rajkot,Average service,5
Priya,Singh,priya.singh22@example.com,Rajkot Police Station,Rajkot,Poor service,1
Sanjay,Reddy,sanjay.reddy75@example.com,Rajkot Police Station,Rajkot,Excellent service,4
Neha,Sharma,neha.sharma94@example.com,Rajkot Police Station,Rajkot,Average service,8
Neha,Reddy,neha.reddy71@example.com,Rajkot Police Station,Rajkot,Poor service,7
Aarav,Mukherjee,aarav.mukherjee91@example.com,Rajkot Police Station,Rajkot,Excellent service,9
Aarav,Singh,aarav.singh15@example.com,Rajkot Police Station,Rajkot,Average service,9
Neha,Gupta,neha.gupta36@example.com,Rajkot Police Station,Rajkot,Average service,10
Kavita,Sharma,kavita.sharma99@example.com,Rajkot Police Station,Rajkot,Poor service,6
Priya,Singh,priya.singh31@example.com,Rajkot Police Station,Rajkot,Terrible service,5
Neha,Sharma,neha.sharma10@example.com,Rajkot Police Station,Rajkot,Good service,5
Neha,Gupta,neha.gupta91@example.com,Rajkot Police Station,Rajkot,Good service,8
Kavita,Singh,kavita.singh87@example.com,Rajkot Police Station,Rajkot,Average service,4
Priya,Singh,priya.singh83@example.com,Rajkot Police Station,Rajkot,Good service,3
Kavita,Reddy,kavita.reddy50@example.com,Rajkot Police Station,Rajkot,Good service,1
Kavita,Singh,kavita.singh19@example.com,Rajkot Police Station,Rajkot,Average service,1
Priya,Singh,priya.singh1@example.com,Rajkot Police Station,Rajkot,Average service,7
Rahul,Patel,rahul.patel79@example.com,Rajkot Police Station,Rajkot,Poor service,1
Aarav,Mukherjee,aarav.mukherjee16@example.com,Rajkot Police Station,Rajkot,Good service,7
Kavita,Patel,kavita.patel26@example.com,Rajkot Police Station,Rajkot,Terrible service,5
Aarav,Sharma,aarav.sharma11@example.com,Rajkot Police Station,Rajkot,Average service,3
Priya,Reddy,priya.reddy87@example.com,Rajkot Police Station,Rajkot,Terrible service,8
Rahul,Mukherjee,rahul.mukherjee98@example.com,Rajkot Police Station,Rajkot,Excellent service,6
Priya,Mukherjee,priya.mukherjee92@example.com,Rajkot Police Station,Rajkot,Poor service,7
Kavita,Singh,kavita.singh2@example.com,Rajkot Police Station,Rajkot,Excellent service,9
Sanjay,Singh,sanjay.singh43@example.com,Rajkot Police Station,Rajkot,Good service,8
Neha,Reddy,neha.reddy14@example.com,Rajkot Police Station,Rajkot,Poor service,4
